original,short
I enjoy listening to music.,Music
I prefer.,Slow songs or fast songs
"I like Dance, Disco, Funk",Dance
I like Folk music,Folk
I like Country music,Country
I like Classical music,Classical music
I like Musicals,Musical
I like Pop music,Pop
I like Rock music,Rock
"I like Metal, Hard rock",Metal or Hardrock
I like Punk music,Punk
"I like Hip hop, Rap","Hiphop, Rap"
"I like Reggae, Ska","Reggae, Ska"
"I like Swing, Jazz","Swing, Jazz"
I like Rock n Roll,Rock n roll
I like Alternative music,Alternative
I like Latin music,Latino
"I like Techno, Trance","Techno, Trance"
I like Opera,Opera
I really enjoy watching movies.,Movies
I Enjoy Horror movies,Horror
I Enjoy Thriller movies,Thriller
I Enjoy Comedies,Comedy
I Enjoy Romantic movies,Romantic
I Enjoy Sci-fi movies,Sci-fi
I like War movies,War
I like Tales,Fantasy/Fairy tales
I like Cartoons,Animated
I like Documentaries,Documentary
I like Western movies,Western
I like Action movies,Action
I like History,History
I like Psychology,Psychology
I like Politics,Politics
I like Mathematics,Mathematics
I like Physics,Physics
I use the Internet frequently,Internet
"I like working with PC Software, Hardware",PC
"I like studying Economy, Management",Economy Management
I like Biology,Biology
I like Chemistry,Chemistry
I like reading poetry,Reading
I like Geography,Geography
I like Foreign languages,Foreign languages
I like the study of Medicine,Medicine
I like the study of Law,Law
I like Cars,Cars
I like Art,Art exhibitions
I am Religious,Religion
I like Outdoor activities,"Countryside, outdoors"
I like Dancing,Dancing
I like Playing musical instruments,Musical instruments
I like Poetry writing,Writing
I like Sport and leisure activities,Passive sport
I like Sport at competitive level,Active sport
I like Gardening,Gardening
I like Celebrity lifestyle,Celebrities
I like Shopping,Shopping
I like Science and technology,Science and technology
I like Theatre,Theatre
I like Socializing,Fun with friends
I like Adrenaline sports,Adrenaline sports
I like Pets,Pets
I am afraid of Flying,Flying
"I am afraid of Thunder, lightning",Storm
I fear Darkness,Darkness
I fear Heights,Heights
I fear Spiders,Spiders
I fear Snakes,Snakes
"I fear Rats, mice",Rats
I fear Ageing,Ageing
I fear Dangerous dogs,Dangerous dogs
I fear Public speaking,Fear of public speaking
Smoking habits,Smoking
Drinking,Alcohol
I live a very healthy lifestyle.,Healthy eating
I take notice of what goes on around me.,Daily events
I try to do tasks as soon as possible and not leave them until last minute.,Prioritising workload
I always make a list so I don't forget anything.,Writing notes
I often study or work even in my spare time.,Workaholism
I look at things from all different angles before I go ahead.,Thinking ahead
I believe that bad people will suffer one day and good people will be rewarded.,Final judgement
I am reliable at work and always complete all tasks given to me.,Reliability
I always keep my promises.,Keeping promises
I can fall for someone very quickly and then completely lose interest.,Loss of interest
I would rather have lots of friends than lots of money.,Friends versus money
I always try to be the funniest one.,Funniness
I can be two faced sometimes.,Fake
I damaged things in the past when angry.,Criminal damage
I take my time to make decisions.,Decision making
I always try to vote in elections.,Elections
I often think about and regret the decisions I make.,Self-criticism
I can tell if people listen to me or not when I talk to them.,Judgment calls
I am a hypochondriac.,Hypochondria
I am emphatetic person.,Empathy
I eat because I have to. I don't enjoy food and eat as fast as I can.,Eating to survive
I try to give as much as I can to other people at Christmas.,Giving
I don't like seeing animals suffering.,Compassion to animals
I look after things I have borrowed from others.,Borrowed stuff
I feel lonely in life.,Loneliness
I used to cheat at school.,Cheating in school
I worry about my health.,Health
I wish I could change the past because of the things I have done.,Changing the past
I believe in God.,God
I always have good dreams.,Dreams
I always give to charity.,Charity
I have lots of friends.,Number of friends
Timekeeping.,Punctuality
Do you lie to others?,Lying
I am very patient.,Waiting
I can quickly adapt to a new environment.,New environment
My moods change quickly.,Mood swings
I am well mannered and I look after my appearance.,Appearence and gestures
I enjoy meeting new people.,Socializing
I always let other people know about my achievements.,Achievements
I think carefully before answering any important letters.,Responding to a serious letter
I enjoy childrens' company.,Children
I am not afraid to give my opinion if I feel strongly about something.,Assertiveness
I can get angry very easily.,Getting angry
I always make sure I connect with the right people.,Knowing the right people
I have to be well prepared before public speaking.,Public speaking
I will find a fault in myself if people don't like me.,Unpopularity
I cry when I feel down or things don't go the right way.,Life struggles
I am 100% happy with my life.,Happiness in life
I am always full of life and energy.,Energy levels
"I prefer big dangerous dogs to smaller, calmer dogs.",Small - big dogs
I believe all my personality traits are positive.,Personality
If I find something the doesn't belong to me I will hand it in.,Finding lost valuables
I find it very difficult to get up in the morning.,Getting up
I have many different hobbies and interests.,Interests or hobbies
I always listen to my parents' advice.,Parents' advice
I enjoy taking part in surveys.,Questionnaires or polls
How much time do you spend online?,Internet usage
I save all the money I can.,Finances
I enjoy going to large shopping centres.,Shopping centres
I prefer branded clothing to non branded.,Branded clothing
I spend a lot of money on  partying and socializing.,Entertainment spending
I spend a lot of money on my appearance.,Spending on looks
I spend a lot of money on gadgets.,Spending on gadgets
"I will hapilly pay more money for good, quality or healthy food.",Spending on healthy eating
Age,Age
Height,Height
Weight,Weight
How many siblings do you have?,Number of siblings
Gender,Gender
I am,Left - right handed
Highest education achieved,Education
I am the only child,Only child
I spent most of my childhood in a,Village - town
I lived most of my childhood in a,House - block of flats
